,human_baseline_summaries,original_model_summaries,peft_model_summaries
86,#Person1# is withdrawing money from an ATM. But the ATM wrongly transfers #Person1#'s money to the World Wildlife Foundation. It drives #Person1# crazy.,#Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#: I have to withdraw money from the ATM. #Person1#: I have to withdraw money from the ATM. #Person2#,#Person1# is using Universal Bank to withdraw money from the ATM. #Person2# tells #Person1# to insert the card into the slot and then remove the card from the slot. #Person1# is angry and tells #Person2# the exits have been sealed and the doors will remain locked in until the local authorities arrive.
87,#Person2# tells #Person1# #Person2#'s communication strategy.,#Person1#: I am an outgoing person who likes to be with a lot of friends.,#Person2# tells #Person1# #Person2# is an outgoing person who likes to be with a lot of friends. #Person2#'s strategy in communication is sincerity.
88,"Since #Person2# is very social, #Person1# asks for the communication strategy.",#Person1#: I am an outgoing person who likes to be with a lot of friends.,#Person2# tells #Person1# #Person2# is an outgoing person who likes to be with a lot of friends. #Person2#'s strategy in communication is sincerity.
89,#Person2# shares #Person2#'s communication strategy with #Person1#.,#Person1#: I am an outgoing person who likes to be with a lot of friends.,#Person2# tells #Person1# #Person2# is an outgoing person who likes to be with a lot of friends. #Person2#'s strategy in communication is sincerity.
90,Mr. Polly is tired and wants a break from work. #Person1# cannot buy a bottle of soft drink for him.,"Person1#: I'm sorry, Mr. Polly.",Mr. Polly wants a break from the horrible job and buys a bottle of soft drink. Mr. Polly refuses because his boss is in the shop now.
91,"Mr. Polly wants to get a break from work and he asks #Person1# to buy a drink for him, but #Person1# refuses.","Person1#: I'm sorry, Mr. Polly.",Mr. Polly wants a break from the horrible job and buys a bottle of soft drink. Mr. Polly refuses because his boss is in the shop now.
92,"Mr. Polly asks #Person1#'s help to buy a drink, but #Person1# refuses.","Person1#: I'm sorry, Mr. Polly.",Mr. Polly wants a break from the horrible job and buys a bottle of soft drink. Mr. Polly refuses because his boss is in the shop now.
93,Francis and Monica are discussing when to work on the financial report.,"#Person1: Hi, this is Francis. #Person2: Hi, this is Monica. I'm working on a financial report. I'm available from 1 PM to 4 PM on Friday afternoon.",Monica asks Francis to work on the financial report. Francis agrees and they will meet on Friday afternoon.
94,Francis and Monica manage to find time to work on a report together.,"#Person1: Hi, this is Francis. #Person2: Hi, this is Monica. I'm working on a financial report. I'm available from 1 PM to 4 PM on Friday afternoon.",Monica asks Francis to work on the financial report. Francis agrees and they will meet on Friday afternoon.
95,Francis and Monica negotiate on the time to work on the report.,"#Person1: Hi, this is Francis. #Person2: Hi, this is Monica. I'm working on a financial report. I'm available from 1 PM to 4 PM on Friday afternoon.",Monica asks Francis to work on the financial report. Francis agrees and they will meet on Friday afternoon.
96,#Person1# joins #Person2#'s interview workshop. They discuss the tips to improve their interview performance.,Take the interview class.,"#Person1# is excited to take the interview class to prepare for an interview. #Person2# tells #Person1# some important considerations going into the interview and advises #Person1# to dress neatly and appropriately, attitude and friendliness go a long way, and be honest with your answers."
97,#Person1# takes an interview workshop. #Person2# offer #Person1# some useful tips on getting ready for an interview.,Take the interview class.,"#Person1# is excited to take the interview class to prepare for an interview. #Person2# tells #Person1# some important considerations going into the interview and advises #Person1# to dress neatly and appropriately, attitude and friendliness go a long way, and be honest with your answers."
98,"In the workshop, #Person2# offer #Person1# some suggestions on how to perform well in interviews.",Take the interview class.,"#Person1# is excited to take the interview class to prepare for an interview. #Person2# tells #Person1# some important considerations going into the interview and advises #Person1# to dress neatly and appropriately, attitude and friendliness go a long way, and be honest with your answers."
99,#Person1# and Mike are discussing what kind of emotion should be expressed by Mike in this play. They have different understandings.,The two of them will try to figure out how to express their feelings.,"Mike tells #Person2# that Jason and Laura have been together for three years. Mike thinks Jason would react the way most guys would and then later on, but #Person2# is not sure about that."
100,#Person1# and Mike have a disagreement on how to act out a scene. #Person1# proposes that Mike can try to act in #Person1#'s way.,The two of them will try to figure out how to express their feelings.,"Mike tells #Person2# that Jason and Laura have been together for three years. Mike thinks Jason would react the way most guys would and then later on, but #Person2# is not sure about that."
101,"#Person1# wants Mike to act more angry, but Mike thinks he should act both angry and sad.",The two of them will try to figure out how to express their feelings.,"Mike tells #Person2# that Jason and Laura have been together for three years. Mike thinks Jason would react the way most guys would and then later on, but #Person2# is not sure about that."
102,#Person1# greets Mrs. Todd and then they say goodbye to each other.,Person1#: I'm sorry to hear that.,Mrs. Todd invites Mrs. Todd to visit her. Mrs. Todd tells Mrs. Todd she's busy at weekends and she's glad she came over.
103,"#Person1# comes over to say hello to Mrs. Todd, and will go shopping afterwards.",Person1#: I'm sorry to hear that.,Mrs. Todd invites Mrs. Todd to visit her. Mrs. Todd tells Mrs. Todd she's busy at weekends and she's glad she came over.
104,"#Person1# visits Mrs. Todd, and Mrs. Todd appreciates that.",Person1#: I'm sorry to hear that.,Mrs. Todd invites Mrs. Todd to visit her. Mrs. Todd tells Mrs. Todd she's busy at weekends and she's glad she came over.
105,Bill is tired. Bill and #Person1# talk about Bill's brother.,"#Person1#: Oh, I'm tired. #Person2#: Oh, I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired.",Bill is tired because he's been working until around ten every night this week. #Person1# asks him to go home at quitting time today and take it easy. Bill's brother is busy and he's not coming back for several more weeks. #Person1# wants to be sure of the time.
106,"#Person1# has a chat with Bill, and learns updates about Bill and his brother. #Person1# asks for time because #Person1# will go meet a friend.","#Person1#: Oh, I'm tired. #Person2#: Oh, I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired.",Bill is tired because he's been working until around ten every night this week. #Person1# asks him to go home at quitting time today and take it easy. Bill's brother is busy and he's not coming back for several more weeks. #Person1# wants to be sure of the time.
